iter	Logloss
0	0.692714154
1	0.69198578
2	0.6912603823
3	0.6906574262
4	0.6900556763
5	0.6896966055
6	0.6890986681
7	0.6884966584
8	0.6880150776
9	0.6874169203
10	0.6870587934
11	0.6863352925
12	0.6854919016
13	0.6848973691
14	0.6847788204
15	0.6846595787
16	0.6840665314
17	0.683590088
18	0.6829956338
19	0.6824035548
20	0.681565259
21	0.6808532864
22	0.6800179549
23	0.6794272572
24	0.6785937399
25	0.6778833777
26	0.6775350831
27	0.6771809995
28	0.6764707118
29	0.6756426178
30	0.6750577658
31	0.6744773343
32	0.6740583152
33	0.673647327
34	0.6728223391
35	0.6722389869
36	0.6718275629
37	0.6714816637
38	0.670900175
39	0.670202516
40	0.6696260504
41	0.6692800887
42	0.6689375952
43	0.6685943983
44	0.6677775636
45	0.667201373
46	0.666388537
47	0.6656970605
48	0.6653542757
49	0.6647846669
50	0.6642100081
51	0.6634002298
52	0.6628283277
53	0.6624900356
54	0.661683628
55	0.6608775258
56	0.6600727916
57	0.6595056385
58	0.6591718942
59	0.6583706036
60	0.6575654849
61	0.6570036739
62	0.6562067047
63	0.6554060042
64	0.6550113082
65	0.6544519335
66	0.6537740245
67	0.6529772028
68	0.6521895334
69	0.6515137941
70	0.6509584233
71	0.6501688629
72	0.6498345673
73	0.6491651788
74	0.6486068368
75	0.6478243694
76	0.6472731158
77	0.6467201158
78	0.6460524812
79	0.6455009878
80	0.6448341385
81	0.6440592453
82	0.6437331125
83	0.6434071675
84	0.6426293716
85	0.642245011
86	0.6415839016
87	0.6410403728
88	0.6409320354
89	0.6403891146
90	0.6398432732
91	0.6393019527
92	0.6386423856
93	0.6381014436
94	0.6375577837
95	0.6372381896
96	0.6366971791
97	0.636375922
98	0.6359988511
99	0.6354576468
100	0.6350270271
101	0.6347125232
102	0.6341732711
103	0.6336342841
104	0.6330988377
105	0.6325625867
106	0.6320255399
107	0.6317556232
108	0.631222263
109	0.6306870639
110	0.6303723335
111	0.629837656
112	0.6293064922
113	0.628776738
114	0.6280251056
115	0.6272665948
116	0.6265149534
117	0.6259885758
118	0.6256751686
119	0.6249246955
120	0.6241768956
121	0.623430559
122	0.6231247097
123	0.6225993276
124	0.6220720917
125	0.6215483725
126	0.6209155619
127	0.6201755762
128	0.6195449561
129	0.6190257668
130	0.6185047984
131	0.617764771
132	0.6172456384
133	0.6165084779
134	0.6162081927
135	0.615689823
136	0.6149539649
137	0.6149023682
138	0.6142762959
139	0.6137602597
140	0.6132486522
141	0.6125178456
142	0.6120059371
143	0.6119070709
144	0.6116059333
145	0.6108799338
146	0.6105772734
147	0.6100697875
148	0.6095595717
149	0.6092576504
150	0.6087469369
151	0.6083938062
152	0.6077768624
153	0.6074770689
154	0.6069736987
155	0.6064654887
156	0.6059596092
157	0.6054582745
158	0.6051025182
159	0.604599753
160	0.6042439908
161	0.6035286874
162	0.6032359183
163	0.6025237262
164	0.6018088907
165	0.6012001395
166	0.6005983353
